date;jour;canal;format;persona;theme;sujet;objectif;appel_a_action;page_site_envisagee;agent_producteur;controle_conformite;kpi;statut
2026-09-15;Mardi;LinkedIn entreprise;Post;D - Arrivee en Suisse;Arrivee en Suisse (echo);Un accompagnement pense aussi pour les nouveaux arrivants en Suisse romande;Notoriete;Suivre la page;Aucune;linkedin-writer;Requis;Portee, abonnes;A faire
2026-09-16;Mercredi;Instagram;Carrousel;D - Arrivee en Suisse;Arrivee en Suisse;4 choses a verifier dans les 3 premiers mois en Suisse;Education;Enregistrez ce post;Aucune;social-media-manager;Requis;Engagement, enregistrements;A faire
2026-09-17;Jeudi;LinkedIn;Post;Tous;Objection frequente n1;Un courtier, ca coute plus cher, non ?;Education;Poser votre question en commentaire;Aucune;linkedin-writer;Requis;Portee, engagement;A faire
2026-09-18;Vendredi;Reels;Reel;D - Arrivee en Suisse;Arrivee en Suisse;Nouvel arrivant en Suisse, par ou commencer ?;Notoriete;Commentez guide pour etre prevenu-e;Aucune;social-media-manager;Requis;Vues, retention;A faire
;;SEO (action interne);Action interne;;LAMal ou LCA;Review SEO du brouillon SEO-003 (seo-strategist);Preparation;n/a;n/a;seo-strategist;n/a;n/a;Preparation
2026-09-21;Lundi;LinkedIn;Post;A - Jeune actif;3e pilier 3A;Pourquoi la fin d'annee est un bon moment pour repenser son 3a;Education;Prendre rendez-vous;URL a confirmer;linkedin-writer;Requis;Portee, clics site;A faire
2026-09-22;Mardi;LinkedIn entreprise;Post;A et C;Assurance-vie;Assurance-vie, de quoi parle-t-on vraiment ? (formulation FINMA exacte requise);Notoriete;Suivre la page;Aucune;linkedin-writer;Requis;Portee, abonnes;A faire
2026-09-23;Mercredi;Instagram;Carrousel;A - Jeune actif;3e pilier 3A/3B;3a et 3b, deux logiques a ne pas confondre;Education;Enregistrez ce post;Aucune;social-media-manager;Requis;Engagement, enregistrements;A faire
2026-09-24;Jeudi;LinkedIn;Post;A et C;3e pilier 3B;Le 3b, a quoi ca sert concretement ?;Education;Prendre rendez-vous;URL a confirmer;linkedin-writer;Requis;Portee, clics site;A faire
2026-09-25;Vendredi;Facebook;Post;B - Famille;Assurance-vie;Un mot simple sur l'assurance-vie, sans jargon;Education;Poser votre question;Aucune;social-media-manager;Requis;Portee, engagement;A faire
;;SEO (action interne);Action interne;;LAMal ou LCA;Review conformite de SEO-003 (compliance-reviewer);Preparation;n/a;n/a;compliance-reviewer;n/a;n/a;Preparation
2026-09-28;Lundi;LinkedIn;Post;Tous (salaries);Protection du revenu;Et si un salarie perdait sa capacite de gain ?;Education;Faire le point;URL a confirmer;linkedin-writer;Requis;Portee, clics site;A faire
2026-09-29;Mardi;LinkedIn entreprise;Post;Tous;Methode de conseil;Pourquoi je commence toujours par ecouter avant de comparer;Notoriete;Suivre la page;Aucune;linkedin-writer;Requis;Portee, abonnes;A faire
2026-09-30;Mercredi;Instagram;Stories;Tous;Protection du revenu;Posez vos questions sur la protection du revenu;Engagement;Repondez, je lis tout;Aucune;social-media-manager;Requis;Vues, reponses;A faire
2026-10-01;Jeudi;LinkedIn;Post;B - Famille;Situation pedagogique fictive;Situation pedagogique fictive : une jeune famille apres un arret de travail prolonge;Education;Demander une analyse;URL a confirmer;linkedin-writer;Requis;Portee, clics site;A faire
2026-10-02;Vendredi;Reels;Reel;Tous;Protection du revenu;3 questions pour savoir si vous etes bien proteges;Notoriete;Commentez si ca vous parle;Aucune;social-media-manager;Requis;Vues, retention;A faire
;;SEO (action interne);Action interne;;LAMal ou LCA;Validation humaine de SEO-003, si le cycle a suivi son cours (decision humaine non garantie a ce stade);Preparation;n/a;n/a;Humain (Antoine Legrand);n/a;n/a;Preparation
2026-10-05;Lundi;LinkedIn;Post;Tous;Objection frequente n2;Je n'ai pas le temps;Education;Poser votre question;Aucune;linkedin-writer;Requis;Portee, engagement;A faire
2026-10-06;Mardi;LinkedIn entreprise;Post;Tous;Methode de conseil;Comment se deroule un premier echange avec moi;Notoriete;Suivre la page;Aucune;linkedin-writer;Requis;Portee, abonnes;A faire
2026-10-07;Mercredi;Instagram;Carrousel;Tous;Objections frequentes;3 idees recues sur les courtiers;Education;Enregistrez ce post;Aucune;social-media-manager;Requis;Engagement, enregistrements;A faire
2026-10-08;Jeudi;LinkedIn;Post;Tous;Objection frequente n3;Je prefere traiter directement avec mon assureur;Education;Poser votre question;Aucune;linkedin-writer;Requis;Portee, engagement;A faire
2026-10-09;Vendredi;Facebook;Post;Tous;Methode de conseil;Pourquoi je ne travaille pas pour un seul assureur;Notoriete;Voir nos services;URL a confirmer;social-media-manager;Requis;Portee, clics;A faire
;;SEO (action interne);Action interne;;Franchise;Cadrer le brief SEO-005 (idee vers brief a creer/brief pret);Preparation;n/a;n/a;content-strategist / seo-strategist;n/a;n/a;Preparation
2026-10-12;Lundi;LinkedIn;Post;A - Jeune actif;Jeunes actifs;Ce que j'aurais aime savoir a mes debuts;Education;Poser votre question;Aucune;linkedin-writer;Requis;Portee, engagement;A faire
2026-10-13;Mardi;LinkedIn entreprise;Post;Tous;Methode de conseil;Un premier bilan de mes publications, sans chiffre a annoncer pour l'instant;Notoriete;Suivre la page;Aucune;linkedin-writer;Requis;Portee, abonnes;A faire
2026-10-14;Mercredi;Instagram;Carrousel;Tous;Synthese;Les sujets traites ces dernieres semaines, en un coup d'oeil;Engagement;Enregistrez ce post;Aucune;social-media-manager;Requis;Engagement, enregistrements;A faire
2026-10-15;Jeudi;LinkedIn;Post;C - Independant;Situation pedagogique fictive;Situation pedagogique fictive : un independant qui structure sa prevoyance;Education;Demander une analyse;URL a confirmer;linkedin-writer;Requis;Portee, clics site;A faire
2026-10-16;Vendredi;Facebook;Post;Tous;Methode de conseil;Un mot de remerciement pour ces premieres semaines;Notoriete;Voir nos services;URL a confirmer;social-media-manager;Requis;Portee, clics;A faire
;;SEO (action interne);Action interne;;Franchise;Redaction du brouillon SEO-005 par seo-writer, a partir du brief;Preparation;n/a;n/a;seo-writer;n/a;n/a;Preparation
