numero_semaine;date_debut;date_fin;phase;tache;agent_responsable;persona;canal;priorite;duree_estimee;livrable;dependance;validation_humaine;kpi;statut
S6;2026-09-05;2026-09-11;Phase 3;Publications social (cadence standard + 1 reel);linkedin-writer / social-media-manager / compliance-reviewer;A et B;LinkedIn/Instagram/Facebook/Reels;Haute;6h;Brouillons social;Rapport J30;Oui;Engagement, clics;A faire
S7;2026-09-12;2026-09-18;Phase 3;Cadrer et rediger la 2e ressource (Check-list assurances du foyer);lead-magnet-creator / content-strategist / compliance-reviewer;B - Famille;Site;Haute;5h;Lead magnet 2 brouillon;Rapport J30;Oui;Telechargements;A faire
S7;2026-09-12;2026-09-18;Phase 3;Documenter optimisations de formulaires (specifications, sans modif site);conversion-funnel-designer / compliance-reviewer;Tous;Site;Moyenne;3h;Note d optimisation;Test CTA S3;Oui;Taux de completion formulaire;A faire
S7;2026-09-12;2026-09-18;Phase 3;Publications social (cadence standard);linkedin-writer / social-media-manager / compliance-reviewer;A et B;LinkedIn/Instagram/Facebook;Moyenne;5h;Brouillons social;S6;Oui;Engagement, clics;A faire
S8;2026-09-19;2026-09-25;Phase 3;Developper les sujets et formats les plus performants;content-strategist / social-media-manager / linkedin-writer;A et B;Social/SEO;Haute;5h;Brouillons declines;Rapport J30 + suivi;Oui;Engagement, clics;A faire
S8;2026-09-19;2026-09-25;Phase 3;Rediger le 2e article SEO (brief + brouillon);seo-strategist / content-strategist / compliance-reviewer;B - Famille;SEO/Site;Haute;5h;Brouillon article 2;Article 1;Oui;Positions, visites;A faire
S8;2026-09-19;2026-09-25;Phase 3;Faire avancer 1-2 partenariats exploratoires;marketing-director;B et C;Local;Moyenne;2h;Note partenariats;Pistes S4;Oui;Partenariats actifs;A faire
S9;2026-09-26;2026-09-29;Phase 3;Rapport J60 (analyse consolidee, arret/modif des actions peu efficaces);performance-analyst / marketing-director;Tous;Analytics;Haute;3h;Rapport J60;Donnees reelles;Oui;Conversions, cout/temps par lead;A faire
S9;2026-09-26;2026-09-29;Phase 3;Cadrage tests publicitaires (recommandation, execution seulement apres validation humaine);marketing-director / performance-analyst / compliance-reviewer;A et C;Publicite;Basse;2h;Note tests pub;Rapport J60;Oui - obligatoire avant depense;Cout par lead si lance;A faire
S9;2026-09-26;2026-09-29;Phase 3;Revue conformite globale mi-parcours;compliance-reviewer;Tous;Interne;Haute;2h;MaJ registre conformite;Contenus;Oui;n/a;A faire
S9;2026-09-30;2026-10-02;Phase 4;Augmenter la production sur les contenus performants;content-strategist / social-media-manager / linkedin-writer;A et B;Social/SEO;Haute;5h;Brouillons;Rapport J60;Oui;Clics, conversions;A faire
S9;2026-09-30;2026-10-02;Phase 4;Cadrer la 3e ressource (Guide prevoyance de l independant);lead-magnet-creator / content-strategist;C - Independant;Site;Moyenne;3h;Brief lead magnet 3;Rapport J60;Oui;Telechargements;A faire
S10;2026-10-03;2026-10-09;Phase 4;Creer 1-2 cas pratiques anonymises (fictifs ou anonymises/agreges);content-strategist / compliance-reviewer;B et C;Social/SEO;Haute;4h;Brouillons cas pratiques;Donnees anonymisees validees;Oui;Engagement, clics;A faire
S10;2026-10-03;2026-10-09;Phase 4;Finaliser la 3e ressource (brouillon complet);lead-magnet-creator / compliance-reviewer;C - Independant;Site;Haute;5h;Lead magnet 3;Brief S9;Oui;Telechargements;A faire
S10;2026-10-03;2026-10-09;Phase 4;Publications social (cadence standard);linkedin-writer / social-media-manager / compliance-reviewer;A et B;LinkedIn/Instagram/Facebook;Moyenne;5h;Brouillons social;S9;Oui;Engagement;A faire
S11;2026-10-10;2026-10-16;Phase 4;Developper la demarche de recommandations clients (demande volontaire, cadre ethique);marketing-director / compliance-reviewer;Tous;Relationnel;Moyenne;3h;Note process recommandations;Clients satisfaits cote humain;Oui;Nombre de recommandations;A faire
S11;2026-10-10;2026-10-16;Phase 4;Ameliorer les taux de conversion (tests A/B CTA/landing documentes, sans modif site);conversion-funnel-designer / performance-analyst;Tous;Site;Moyenne;3h;Note tests conversion;Optimisation S7;Oui;Taux de conversion;A faire
S11;2026-10-10;2026-10-16;Phase 4;Rediger le 3e article SEO (brief + brouillon);seo-strategist / content-strategist / compliance-reviewer;C - Independant;SEO;Moyenne;4h;Brouillon article 3;Article 2;Oui;Positions, visites;A faire
S12;2026-10-17;2026-10-23;Phase 4;Consolider les partenariats (bilan et suite);marketing-director;B et C;Local;Moyenne;2h;Bilan partenariats;Partenariats S8;Oui;Partenariats actifs;A faire
S12;2026-10-17;2026-10-23;Phase 4;Documenter les processus (production, validation, traitement des leads);marketing-director / content-strategist;Tous;Interne;Haute;3h;Doc process;Tout le lot;Oui;n/a;A faire
S12;2026-10-17;2026-10-23;Phase 4;Publications social (cadence standard);linkedin-writer / social-media-manager / compliance-reviewer;A et B;LinkedIn/Instagram/Facebook;Moyenne;5h;Brouillons social;S11;Oui;Engagement;A faire
S13;2026-10-24;2026-10-29;Phase 4;Rapport J90 (bilan complet, KPI vs objectifs prudents);performance-analyst / marketing-director;Tous;Analytics;Haute;3h;Rapport J90;Donnees reelles;Oui;Ensemble des KPI;A faire
S13;2026-10-24;2026-10-29;Phase 4;Preparer les 90 jours suivants (priorites, sujets, ressources);marketing-director / content-strategist / seo-strategist;Tous;Interne;Haute;3h;Plan J91-J180 brouillon;Rapport J90;Oui;n/a;A faire
S13;2026-10-24;2026-10-29;Phase 4;Revue conformite finale et archivage des fiches de validation;compliance-reviewer;Tous;Interne;Haute;2h;Registre conformite cloture;Tout le lot;Oui;n/a;A faire
